symbol	mcap_cr	pe	pb	industry
PAYTM	65867		4.3	Financial Technology (Fintech)
PCBL	10221	38.4	2.5	Carbon Black
PERSISTENT	83021	47.9	10.7	Computers - Software & Consulting
PETRONET	38178	10.5	1.8	LPG/CNG/PNG/LNG Supplier
PFC	133951	5.3	1.1	Financial Institution
PFIZER	22141	25.9	5.8	Pharmaceuticals
PGEL	12853	46.0	4.8	Consumer Electronics
PGHH	31458	43.9	33.8	Personal Care
PHOENIXLTD	55601	51.0	5.2	Residential Commercial Projects
PIDILITIND	131414	57.6	13.8	Specialty Chemicals
PIIND	43049	29.7	4.0	Pesticides & Agrochemicals
PNB	122420	6.9	0.8	Public Sector Bank
PNBHOUSING	21296	9.8	1.2	Housing Finance Company
POCL	3315	29.0	4.7	Unknown
POLICYBZR	68090	117.0	10.0	Financial Technology (Fintech)
POLYCAB	106204	40.5	9.5	Cables - Electricals
POLYMED	13904	40.1	4.8	Medical Equipment & Supplies
POONAWALLA	31956	89.1	3.1	Non Banking Financial Company (NBFC)
POWERGRID	274507	19.0	2.8	Power - Transmission
POWERINDIA	111580	131.7	24.3	Heavy Electrical Equipment
PPLPHARMA	18741		2.3	Pharmaceuticals
PRAJIND	6337	121.4	4.9	Industrial Products
PREMIERENE	41586	33.1	12.0	Other Electrical Equipment
PRESTIGE	50964	52.7	3.2	Residential Commercial Projects
PTCIL	23319	352.1	16.5	Other Industrial Products
PVRINOX	9221	432.7	1.3	Film Production Distribution & Exhibition
RADICO	35972	69.6	12.1	Breweries & Distilleries
RAILTEL	8568	26.9	4.1	Other Telecom Services
RAINBOW	11901	46.5	7.8	Hospital
RAMCOCEM	22141	38.5	2.9	Cement & Cement Products
RBLBANK	19665	27.0	1.2	Private Sector Bank
RCF	6472	20.7	1.3	Fertilizers
RECLTD	86263	5.0	1.0	Financial Institution
REDINGTON	16204	9.2	1.8	Trading & Distributors
RELIANCE	1765582	21.2	2.0	Refineries & Marketing
RELINFRA	3147	0.5	0.2	Integrated Power Utilities
RHIM	7606	44.4	1.9	Electrodes & Refractories
RITES	9190	22.3	3.5	Civil Construction
RKFORGE	9208	42.6	3.0	Auto Components & Equipments
RPOWER	9636	33.8	0.6	Power Generation
RRKABEL	15063	33.2	6.4	Cables - Electricals
RVNL	54549	47.6	5.7	Civil Construction
SAGILITY	19858	23.4	2.3	IT Enabled Services
SAIL	66270	23.8	1.1	Iron & Steel
SAILIFE	20006	59.6	8.7	Pharmaceuticals
SAMMAANCAP	16889	8.0	0.5	Housing Finance Company
SAPPHIRE	5064		3.6	Restaurants
SARDAEN	18498	17.5	2.6	Iron & Steel
SAREGAMA	6128	32.0	3.7	Media & Entertainment
SBFC	9266	21.9	2.7	Non Banking Financial Company (NBFC)
SBICARD	60436	28.9	4.1	Non Banking Financial Company (NBFC)
SBILIFE	184248	74.5	9.7	Life Insurance
SBIN	953292	11.2	1.6	Public Sector Bank
SCHAEFFLER	59125	51.3	9.8	Auto Components & Equipments
SCHNEIDER	22147	90.5	33.6	Heavy Electrical Equipment
SCI	10842	9.6	1.3	Shipping
SHILCTECH	4669	25.2	11.1	Unknown
SHREECEM	85493	47.7	3.8	Cement & Cement Products
SHRIRAMFIN	174606	19.1	2.9	Non Banking Financial Company (NBFC)
SHYAMMETL	22102	22.9	2.0	Iron & Steel Products
SIEMENS	108546	64.1	8.2	Heavy Electrical Equipment
SIGNATURE	10964	3546.8	15.1	Residential Commercial Projects
SJVN	26601	41.3	1.8	Power Generation
SOBHA	13043	91.7	2.8	Residential Commercial Projects
SOLARINDS	120379	83.2	23.5	Explosives
SONACOMS	31677	51.6	5.5	Auto Components & Equipments
SONATSOFTW	6446	14.6	3.6	Computers - Software & Consulting
SRF	72144	40.6	5.4	Specialty Chemicals
STARHEALTH	26984	60.6	3.5	General Insurance
SUMICHEM	19701	37.0	6.2	Pesticides & Agrochemicals
SUNDARMFIN	50676	24.7	3.3	Non Banking Financial Company (NBFC)
SUNDRMFAST	16101	29.0	4.0	Auto Components & Equipments
SUNPHARMA	406591	37.2	5.2	Pharmaceuticals
SUNTV	23182	14.7	1.9	TV Broadcasting & Software Production
SUPREMEIND	46667	57.3	8.2	Plastic Products - Industrial
SUZLON	57040	17.6	7.3	Heavy Electrical Equipment
SWANCORP	9875		0.9	Petrochemicals
SWIGGY	70572		6.4	E-Retail/ E-Commerce
SYNGENE	16053	45.8	3.4	Healthcare Research Analytics & Technology
SYRMA	15580	52.9	5.4	Industrial Products
TARIL	8238	30.7	6.1	Heavy Electrical Equipment
TATACHEM	16158	99.3	0.7	Commodity Chemicals
TATACOMM	39977	25.9	14.0	Telecom - Cellular & Fixed line services
TATACONSUM	104433	71.3	5.1	Tea & Coffee
TATAELXSI	26615	45.8	9.8	Computers - Software & Consulting
TATAINVEST	29952	73.5	0.9	Investment Company
TATAPOWER	122653	32.4	3.2	Integrated Power Utilities
TATASTEEL	244573	26.6	2.6	Iron & Steel
TATATECH	22057	41.5	6.2	IT Enabled Services
TBOTEK	11682	48.5	8.5	Tour Travel Related Services
TCC	0		1.6	Unknown
TCS	895079	18.8	7.9	Computers - Software & Consulting
TECHM	128435	27.9	4.7	Computers - Software & Consulting
TECHNOE	12335	26.3	3.2	Civil Construction
TEJASNET	7534		2.3	Telecom - Equipment & Accessories
